"filename", "language", "HTML", "TypeScript", "PostCSS", "comment", "blank", "total"
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/pipes/img.pipe.ts", "TypeScript", 0, 25, 0, 0, 3, 28
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/block/block.css", "PostCSS", 0, 0, 11, 1, 5, 17
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/block/block.html", "HTML", 1, 0, 0, 0, 1, 2
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/block/block.ts", "TypeScript", 0, 10, 0, 0, 3, 13
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/image-gallery/image-gallery.css", "PostCSS", 0, 0, 13, 0, 5, 18
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/image-gallery/image-gallery.html", "HTML", 3, 0, 0, 0, 1, 4
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/image-gallery/image-gallery.ts", "TypeScript", 0, 12, 0, 0, 3, 15
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/modal/modal.css", "PostCSS", 0, 0, 31, 0, 5, 36
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/modal/modal.html", "HTML", 6, 0, 0, 0, 0, 6
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/modal/modal.ts", "TypeScript", 0, 11, 0, 0, 4, 15
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/notifications/notifications.css", "PostCSS", 0, 0, 61, 0, 13, 74
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/notifications/notifications.html", "HTML", 11, 0, 0, 0, 2, 13
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/notifications/notifications.ts", "TypeScript", 0, 17, 0, 0, 3, 20
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/search-bar/search-bar.css", "PostCSS", 0, 0, 24, 0, 4, 28
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/search-bar/search-bar.html", "HTML", 20, 0, 0, 0, 2, 22
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/search-bar/search-bar.ts", "TypeScript", 0, 38, 0, 0, 9, 47
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/select/select.css", "PostCSS", 0, 0, 79, 1, 15, 95
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/select/select.html", "HTML", 54, 0, 0, 0, 2, 56
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/select/select.ts", "TypeScript", 0, 90, 0, 0, 19, 109
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/tag/tag.css", "PostCSS", 0, 0, 23, 0, 7, 30
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/tag/tag.html", "HTML", 4, 0, 0, 0, 1, 5
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/tag/tag.ts", "TypeScript", 0, 31, 0, 0, 9, 40
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/tree/tree.css", "PostCSS", 0, 0, 41, 0, 5, 46
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/tree/tree.html", "HTML", 27, 0, 0, 0, 1, 28
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/ui/tree/tree.ts", "TypeScript", 0, 19, 0, 0, 2, 21
"/Users/maksym/Documents/Projects/Roomly/frontend/src/index.html", "HTML", 12, 0, 0, 0, 1, 13
"/Users/maksym/Documents/Projects/Roomly/frontend/src/main.ts", "TypeScript", 0, 5, 0, 0, 2, 7
"/Users/maksym/Documents/Projects/Roomly/frontend/src/styles.css", "PostCSS", 0, 0, 140, 2, 28, 170
"Total", "-", 272, 1306, 641, 28, 387, 2634
